object_id,text,text_type,label,ai_model
0,Sumpah ya... aku sungguh kecewa parah dengan apk shopee ini.gara-gara akun ku di blokir gara-gara hal sepele yaitu ga mengupload foto dan video paket aku.aku mohon ke semua yang mau download apk jangan deh nanti nyesel ujung nya aku juga sekarang nyesel download apk shopee ini. Nyesel banget sumpah!,review,1,gemini
1,"Gokil, puas banget belanja di sini. Selama belanja di shopee gw seneng barang dikirimnya cepet plus aman..apalagi bisa cod dan kalo ada gratis ongkir tuh behh mantul... makasih banget shopee akhirnya ada fitur verifikasi ulang pake wajah di shopee pay aku bisa restart ulang🥰🫰 Makasih banyak ya, sukses terus!",review,1,gemini
2,"Aduh, bener-bener bikin emosi. ​BANGET KECEWA PARAH! AKU BELI LAPTOP 6 JUTA, TAPI PAKET DATANG KOSONG! BUKTI DARI PENJUAL DAN AKU SUDAH LENGKAP, DAN KESALAHAN SUDAH TERKONFIRMASI DI PIHAK KURIRNYA SPX. KENAPA INVESTIGASI SHOPEE BANGET LEMOT BGT DAN TANPA KEJELASAN? SPX ITU BAGIAN DARI SHOPEE, JANGAN LEMPAR TANGGUNG JAWAB! DUIT 6 JUTA ITU HASIL AKU NABUNG, BUKAN DUIT MAINAN! JANGAN COBA-COBA MENGULUR WAKTU UNTUK MENUTUP KASUS INI. SEGERA KEMBALIKAN DANA AKU! AKU GA BUTUH ALASAN LAGI, AKU BUTUH KEPASTIAN & DUIT AKU KEMBALI!!!!!!! Tolong diperbaiki dong, jangan merugikan konsumen gini!",review,1,gemini
3,"Senang banget langganan di sini, Shopee banget memudahkan gw dalam belanja online, selama ini gw belum pernah di kecewakan. Shopee selalu exist menjaga members nya. Makasih banyak Banyak untuk Shopee.gw harapkan Shopee bisa mengatur ulang, ketika pertama kali gw Masuk ke Apk Shopee berapa tahun yg lewat. Makasih banyak Banyak atas Perhatian dari Shopee. Puas banget, pertahankan terus layanannya!",review,1,gemini
4,"Nyesek banget rasanya, apk ga jelas bgt kecewa parah padahal ini online shop yang aku percaya, sistem berantakan masa gara gara pencet iklan pop up bisa berlangganan vip. orang bodoh mana yang kepencet sampe beberapa kali hingga menyetujui layanan subscription, hati hati buat yang lainnya kalau ada pop up shope nanti tiba tiba disedot saldonya Kecewa berat!",review,1,gemini
5,"Bener-bener kapok deh. shoppe pegawai ny makin ga jelas parah gw begadang nungguin paket di penjelasan gaada di tempat sama gabisa di hubungin d jelas jelas megang hp mulu buat nunggu paket lain kali nyari pegawai yang bnr shoppe cape doang nungguin.. pelayanannya ny ga jelas parah ngaco jls jls tmn gw ngmng gaada paket sm sekali walaupun sy pergi ad tmn sy juga di rmh sy juga nny ke tmn sy adpaet gw ga emng ga jelas kurirnya ny.. teliti lagi dong Kapok banget, gak mau pake lagi!",review,1,gemini
6,"Gak habis pikir sama sistemnya, sudah seminggu akunku g bisa dipakai belanja, g bisa ceckout barang alasan melanggar aturan. sudah komplain ke customer service tp jawabnya malah penyebab errornya krn apk bukan original mungkin krn download di selain google Play.. eh ngarang si customer service Kecewa pol, kapok pokoknya!",review,1,gemini
7,"Makin ke sini kok makin parah ya, Sebagai marketplace, pelayanannya sudah banget mantap bgt, hanya saja beberapa biaya membebankan seller dan pembeli. DAN YANG PALING PENTING, Shopee games isinya scam semua, terutama Shopee Blockzi yang di mana terlihat seperti permainan menjanjikan, dan kita pasti dapat hadiahnya dengan main seperti biasa saja, padahal dalam development game nya, sudah di atur untuk pengguna agar ga menang, terutama di level akhir sebelum mendapatkan hadiah, balok yang dibutuhkan otomatis akan nihil dan pemain 💀 Aplikasi penipu nih kalau kayak gini terus.",review,1,gemini
8,"Asli ini mengecewakan banget, apk ga jelas bgt, aku dah ajuin banding selisih 3 hari aja langsung tindakan batasi permanen, mana masi ada spaylatter + saldo didalemnya, ku mau bayar jadi ga bisa, besok dah jatuh tempo sialan, mana gaada notif akun dibatasi sementara langsung banned kacau parah Jangan sampai deh kalian ngalamin juga.",review,1,gemini
9,"Sumpah kecewa berat, pengiriman lemot parah bgt skrg biasanya 3 hari udh nyampe ini bisa seminggu lebih padahal etimasi datengnya 3 hari, malah kadang datengnya hari ini tapi ga di kirim kirim, di lacak juga ternyata masih jauh lokasinya kacau bgt gatau kurirnya gatau aplikasinya, udh ga prnh ada promo atau voucher jg kecuali voucher ongkir trs juga kadang kalo dpt harga yang murah pol pesenan lama bgt nyampenya berujung ga dikirim mksd bgt sumpah nyimeng lu semua apus aja ni apk ga jelas Nyesel banget sumpah!",review,1,gemini
10,"Gokil, puas banget belanja di sini. limit saldo aku ga naik² ini shopee takut amat ga dibayar apa cicilan nya.padahal gua bayar bener bahkan sebelum tanggal nya Uda gua bayar.uda gitu barang official store nya banyak yg rusak lgi maka nya sering gua retur.gua juga pedagang cuma beli di online shop sering banyak barang ga jelas nya ya baru dipake 3hari rusak Puas banget, pertahankan terus layanannya!",review,1,gemini
11,"Parah banget sih ini, sejujurnya apk sekarang di tahun 2026 sistem apk Shopee melindungi dan membela penjual penipu untuk merugikan konsumen,intinya isi dari keseluruhan apk Shopee adalah sarang gerombolan penjual penipu dan apk Shopee pun melindungi mereka para penjual penipu karna dengan melindungi penjual penipu apk dapat 70℅persen,sampai sekarang pengembalian dana gw ga di kembalikan oleh pihak Shopee sebesar Rp 180.000 sedangkan pengembalian barang sudah sampai ke penjual nya👎👎👎 Tolong diperbaiki dong, jangan merugikan konsumen gini!",review,1,gemini
12,"Senang banget langganan di sini, Tolong pihak shopee perbaiki sistem pengiriman, akhir² ini pengirim sering ditunda (ga kira² selama 3 hari ditunda terus dgn alasan alamat ga lengkap padahal alamat ga pernah diganti dan sebelumnya lancar² aja)klo ga mampu cepet parah tolong kasih opsi pilihan expedisi lain jgn langsung diarahkan ke spx Top bgt pokonya mah!",review,1,gemini
13,"Kecewa parah asli, pengiriman lemot bgt, katanya barang sampai lokasi tanggal 28 mei 2026, sampai skrng 31 mei 2026 belum sampai"" gimana pihak pengiriman ini telat cuma dimasi vocer 10k buat apa kami cuma butuh ketepatan waktu, waktu gabisa dibeli Kecewa berat!",review,1,gemini
14,"Nyesek banget rasanya, Memang pantas dapat bintang 1 semakin hari pelayanannya Shopee ga jelas ..sekarang mereka Menghapus COD di Beberapa Daerah...sepertinya masyarakat lebih sering Berbelanja di Gerai Serba 35 gara-gara kita bisa melihat barang secara langsung Dan Harga jauh lebih murah pol....tak perlu menunggu barang sampai 15 hari🤣🤣🤣 Kapok banget, gak mau pake lagi!",review,1,gemini
15,"Aplikasi andalan aku banget nih, Belanja cukup menyenangkan dan lengkap. Pengiriman semakin baik. Hanya utk daerah pedalaman seperti gw di Kalimantan Timur banget minim, gara-gara harus menjemput sendiri ke agen. Ga diantar ke alamat yg diberikan, padahal ongkir sudah dibayar sampai ke lokasi alamat. Makasih banyak ya, sukses terus!",review,1,gemini
16,"Gak habis pikir sama sistemnya, Tolong lah untuk potongan biaya jangan terlalu besar, dlu awal buka toko dishopee potongan paling 2-3 ribu doang skrg sampe 10k dong udah ma untung sedkit tolong dong kebijaksanaanya shopeeeeeeer Aplikasi penipu nih kalau kayak gini terus.",review,1,gemini
17,"The best lah pokoknya, selalu langganan dari 2018,. 2026 udah platinum,.. kalo bisa blokir SELLER/TOKO yang PO, atau hilangkan system PO, gara-gara udah lama nunggu² barang dikirim, eh malah auto cancle. gendokk plus kesel juga.. Puas banget, pertahankan terus layanannya!",review,1,gemini
18,"Asli ini mengecewakan banget, gila sih makin ga jelas banget ini shopee sekarang. mana biaya ini itu nya makin tinggi. lama"" pada cabut dah ini customer sama penjual nya. makin mencekik aja. bilang buat biaya pelayanannya, tapi nyatanya apk nya sering nge bug terus itu dana buat pelayanannya nya kemana bossss? Nyesel banget sumpah!",review,1,gemini
