app,rating,review,word_count
Shopee,1,saya sungguh kecewa dengan aplikasi shopee ini.karena akun ku di blokir karena hal sepele yaitu tidak mengupload foto dan video paket saya.saya mohon ke semua yang mau download aplikasi jangan deh nanti nyesel ujung nya aku juga sekarang nyesel download aplikasi shopee ini.,43
Shopee,5,Selama belanja di shopee saya seneng barang dikirimnya cepet plus aman..apalagi bisa cod dan kalo ada gratis ongkir tuh behh mantul... makasih banget shopee akhirnya ada fitur verifikasi ulang pake wajah di shopee pay aku bisa restart ulang🥰🫰,38
Shopee,1,"​SANGAT KECEWA! SAYA BELI LAPTOP 6 JUTA, TAPI PAKET DATANG KOSONG! BUKTI DARI PENJUAL DAN SAYA SUDAH LENGKAP, DAN KESALAHAN SUDAH TERKONFIRMASI DI PIHAK KURIR SPX. KENAPA INVESTIGASI SHOPEE SANGAT LAMBAT DAN TANPA KEJELASAN? SPX ITU BAGIAN DARI SHOPEE, JANGAN LEMPAR TANGGUNG JAWAB! UANG 6 JUTA ITU HASIL SAYA NABUNG, BUKAN UANG MAINAN! JANGAN COBA-COBA MENGULUR WAKTU UNTUK MENUTUP KASUS INI. SEGERA KEMBALIKAN DANA SAYA! SAYA TIDAK BUTUH ALASAN LAGI, SAYA BUTUH KEPASTIAN & UANG SAYA KEMBALI!!!!!!!",77
Shopee,5,"Shopee sangat memudahkan saya dalam belanja online, selama ini saya belum pernah di kecewakan. Shopee selalu exist menjaga members nya. Terimakasih Banyak untuk Shopee.saya harapkan Shopee bisa mengatur ulang, ketika pertama kali saya Masuk ke Aplikasi Shopee berapa tahun yg lewat. Terimakasih Banyak atas Perhatian dari Shopee.",47
Shopee,1,"aplikasi gajelas kecewa padahal ini online shop yang saya percaya, sistem berantakan masa gara gara pencet iklan pop up bisa berlangganan vip. orang bodoh mana yang kepencet sampe beberapa kali hingga menyetujui layanan subscription, hati hati buat yang lainnya kalau ada pop up shope nanti tiba tiba disedot saldonya",49
Shopee,1,shoppe pegawai ny makin gajls saya begadang nungguin paket di penjelasan gaada di tempat sama gabisa di hubungin d jelas jelas megang hp mulu buat nunggu paket lain kali nyari pegawai yang bnr shoppe cape doang nungguin.. pelayanan ny gajls ngaco jls jls tmn saya ngmng gaada paket sm sekali walaupun sy pergi ad tmn sy juga di rmh sy juga nny ke tmn sy adpaet gw ga emng gjls kurir ny.. teliti lagi dong,75
Shopee,1,"sudah seminggu akunku g bisa dipakai belanja, g bisa ceckout barang alasan melanggar aturan. sudah komplain ke cs tp jawabnya malah penyebab errornya krn aplikasi bukan original mungkin krn download di selain google Play.. eh ngarang si cs",38
Shopee,1,"Sebagai marketplace, pelayanan sudah sangat bagus, hanya saja beberapa biaya membebankan seller dan pembeli. DAN YANG PALING PENTING, Shopee games isinya scam semua, terutama Shopee Blockzi yang di mana terlihat seperti permainan menjanjikan, dan kita pasti dapat hadiahnya dengan main seperti biasa saja, padahal dalam development game nya, sudah di atur untuk pengguna agar tidak menang, terutama di level akhir sebelum mendapatkan hadiah, balok yang dibutuhkan otomatis akan nihil dan pemain 💀",72
Shopee,1,"apk gajelas, aku dah ajuin banding selisih 3 hari aja langsung tindakan batasi permanen, mana masi ada spaylatter + saldo didalemnya, ku mau bayar jadi ga bisa, besok dah jatuh tempo sialan, mana gaada notif akun dibatasi sementara langsung banned kacau parah",42
Shopee,1,"pengiriman lelet bgt skrg biasanya 3 hari udh nyampe ini bisa seminggu lebih padahal etimasi datengnya 3 hari, malah kadang datengnya hari ini tapi ga di kirim kirim, di lacak juga ternyata masih jauh lokasinya kacau bgt gatau kurir gatau aplikasinya, udh ga prnh ada promo atau voucher jg kecuali voucher ongkir trs juga kadang kalo dpt harga yang murah pesenan lama bgt nyampenya berujung ga dikirim mksd bgt sumpah nyimeng lu semua apus aja ni aplikasi gjls",78
Shopee,5,limit saldo saya ga naik² ini shopee takut amat ga dibayar apa cicilan nya.padahal gua bayar bener bahkan sebelum tanggal nya Uda gua bayar.uda gitu barang official store nya banyak yg rusak lgi maka nya sering gua retur.gua juga pedagang cuma beli di online shop sering banyak barang ga jelas nya ya baru dipake 3hari rusak,56
