text,text_type,source,author
"Hahaha emang bner orang desa ga main saham, udah pro rakyat aja lu kritik, itu udah lama pemutihan umkm, ambruknya barusan",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"gak pernah terbayang di pikiran gua presiden indonesia dibecandain punya hubungan spesial sama ajudannya anying kocak beut ni indonesia, presiden ga ada bener2 nya diliat2",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Aelah pantes komen2 si pro pada ""yaelah baru 100 hari, sabar"" ""dipikir presiden kayak ketua kelas"" ""mahasew4"" 🙂",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
MOT sama JOT gaada bedanya ini 48g kebanyakan janji manis anjr kek kampanye presiden,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Layak masuk dalam daftar reshuflle 100 Hari kinerja Kabinet Presiden,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
pak .... ini contoh rakyat Indonesia yang sangat mencintai negaranya ‼️ 👍,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Perang tarif dagang itu hanya akal akalan untuk pencitraan Prabowo seolah ada kinerjanya, padahal tarif dagang akal akalan. Hingga hari ini belum terlihat kinerjanya baik para Mentri pembantunya juga. Semua untuk menutupi kegagalan kinerjanya yg tak pernah dituntaskan, hukum dll.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Serius 10 tahun PDIP yg rusakin negara ini? Apa kebijakan presiden yg diatur oleh PDIP yg sampe salah banget menurut lu? Cek semua menteri selama 10 tahun apa ada kader PDIP yg posisinya sangat startegis seperti BUMN?,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Ketua KPK pilihan Mulyono pasti akan menyerang kebijakan Prabowo. Prabowo lemah.,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Pemerintah dan presiden prabowo serta menterinya memikirkan ekonomi kerakyatan yang bisa rakyat kecil jualan kaki lima,pasar dan rakyat indonesia bisa membeli barang dan sembako kembali ramai dan uang itu bisa berputar kembali untuk menjaga perwkonomian kita tidak terpuruk.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Melalui Undang-undang ini, pemerintah berupaya mengurangi birokrasi yang memperlambat pertumbuhan ekonomi",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Gila gila nih kejaksaan agung capainnya dalam 100 hari kerja pada kabinet Merah Putih memuaskan sekali,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Halo Simak bersama yuk video rekap 100 Hari Kerja Bersama Kabinet Merah Putih Presiden Prabowo Subianto berikut. Melangkah ke depan dengan Optimis 🇮🇩🇮🇩🇮🇩,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Tiga gebrakan ekonomi Prabowo hadapi tarif AS: mitra dagang diperbanyak, hilirisasi SDA, konsumsi domestik lebih kuat",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Presiden Prabowo dorong UMKM naik kelas. dukung dengan OCA Interaction Lite untuk optimalkan bisnismu.,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"haloo,butuh joki tugas? yang spessnya? hadir disini yaa! lulusan ilmu politik, spess ilmu pemerintahan, ilmu komunikasi, hubungan internasional, character building, PKN, Kewargangeraan, Bela Negara, dll yang trusted, fast work. testi 1400+",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Keamanan nasional yang kokoh dan efisiensi tinggi kini sejajar berkat RUU TNI dengan bantuan tenaga profesional TNI Perkuat Pertahanan,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Pada Minggu (06/04/2025), Presiden Prabowo Subianto melakukan pertemuan dengan 7 orang jurnalis dari 7 media yang berbeda di Hambalang, Jawa Barat. Melalui wawancara tersebut, Prabowo menjawab sejumlah pertanyaan seputar isu terkini.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Asset mega jauh lebih besar di pemerintahan khususnya di parlemen sebagai partai pemenang pemilu, ketimbang Jokowi yang hanya mewariskan gibran sebagai wapres.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Kok udah malah jadi juru bicaranya ? Apa jangan - jangan udah dapat intervensi dari atas ya ? Setelah lakukan pertemuan tenga malam dengan Sebenarnya pemerintahan serius mau berantas korupsi atau hanya omon - omon doang ?,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Pemeriksaan kesehatan gratis untuk warga Indonesia! Sukseskan program Prabowo-Gibran demi masa depan yang sehat!,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Kami segenap keluarga besar Kotanopan mengapresiasi dan mendukung penuh atas pencapaian bersama 100 hari Kabinet Merah Putih Melangkah ke depan dengan optimis Menuju Indonesia Emas 2045,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
serius ini totally pemerintahan prabowo? org pd ga percaya pak,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Trump inginkan investor masuk ke Amerika dengan membangun pabrik karena AS membebaskan pajak bagi yang produksi di dalam negeri. Langkah tersebut diambil untuk menambah lapangan kerja AS dan berupaya lakukan perundingan dengan semua negara 0 % eksport dari AS ke Luar.,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Kita sdh diajar oleh Founding father politik bebas aktif dan non blok agar politik dan ekonomi negara tidak dipermainkan dan merugikan bangsa dan negara. Ini salah satu dampak dari kecondongan ke Merah Asia.,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Pemerintah terus bergerak maju—dari menjaga kestabilan ekonomi, menurunkan harga pangan, hingga mendorong pembangunan infrastruktur di berbagai daerah",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Saya minta tolong kepada pa untuk bisa meninjau keputusan untuk kami para CASN 2024 bisa di segerakan mendapatkan Hak TMT sesuai prediksi BKN sebelumnya🙏🏻,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Kalian semua orasi treak treak, demo berhari hari. Tetep kalah suara lantangnya dengan orang yg bisa ngomong langsung oleh pemerintah di debat pemilu. Anies ngomong tentang 11/100 ajh udah bikin galau kabinet. Jadi, kemarahan rakyat sekarang tuh udah disampaikan kemaren pemilu",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Sebenernya klo mau ngelakuin sesuatu liat tujuannya, coba yg bantu2 itu pura2 aja pake atribut tulisan “Bantuan Prabowo” pasti yg ijo dan yg coklat bingung juga mau ngapain. Tujuannya tetep dapet, bantu yang lain.",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
Barang bukti yg kuat utk menjadi pintu masuk memakzulkan prabowo-gibran. Bukti kecurangan pilpres itu nyata &amp; sudah terang benderang !! Ayo rakyat 🇮🇩 bergerak !! Ayo adek2 mahasiswa bergerak !! Ayo makzulkan prabowo-gibran !! Merdeka 🇮🇩 !!,social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Justru ini indikasi mereka takut gk si sama kita? makanya dia ngeluarin statement gitu. Karena kalo dia respon serius, malah bakal ngefek ke pemerintahan",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"sejak jaman &amp; skrg , roadmap kemandirian dibangun setapak demi setapak. TKDN adlh slh satu contoh baik u/ membawa perimbangan ekonomi scr lbh adil, bhkn pun akhirnya patuh &amp; memberikan komitmen investasi &amp; membayar denda penundaan investasi",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
"Hantam balik aja pak said didu...Presiden sdh ""berpihak"" ke oligarki tampaknya, itu si Aguan ke istana sama naga2 cina,harus cara rakyat,maen hakim sendiri! Geruduk preman2 item, boyong2 tanah/calo/makelar termasuk Kades dan jawara dr jalur hitam, antek pik2 aguan cina! Merdeka!☝️🇲🇨",social_media_comment,KidzRizal/twitter-sentiment-analysis,human
