object_id,text,text_type,label,ai_model,validation_status
news_6,"**Prabowo Tegas Tolak Wacana Duet Sandiaga-Anies di Pilpres 2024**

Ketua Umum Partai Gerindra, Prabowo Subianto, menegaskan penolakannya terhadap wacana memasangkan Wakil Ketua Dewan Pembina Partai, Sandiaga Uno, dengan Anies Baswedan pada Pemilihan Presiden 2024. Prabowo menegaskan Sandiaga akan tetap taat pada keputusan partai selama masih berstatus kader Gerindra.

""Saya kira Mas Sandi sudah menjawab berkali-kali, bahwa dia patuh dan akan menaati putusan partai,"" ujar Prabowo saat konferensi pers di kediamannya, Hambalang, Bogor, pada Ahad (5/3). Prabowo menyatakan Gerindra sudah mendeklarasikan dirinya sebagai capres, sementara Anies diusung oleh koalisi Partai NasDem, Demokrat, dan PKS.

Penegasan ini disampaikan Prabowo usai melakukan pertemuan selama dua jam dengan Ketua Umum Partai NasDem, Surya Paloh. Dari pertemuan tersebut, tercapai kesepakatan untuk saling menghormati arah politik masing-masing dalam kontestasi Pilpres 2024.

""Soal koalisi, soal capres, cawapres, kita sudah sepakat menghormati keputusan politik masing-masing,"" kata Prabowo. Ia juga menegaskan kesediaannya untuk berpasangan dengan Anies Baswedan tidak relevan mengingat kesepakatan saling menghormati keputusan partai masing-masing.",news_article,1,MiMo-V2.5 Free,accepted
news_3,"**Judul: PN Jakpus Perintahkan Pemilu 2024 Ditunda, Wacana Kembali Menguat**

**Lead:**
Pengadilan Negeri Jakarta Pusat mengabulkan gugatan Partai Prima dan memerintahkan Komisi Pemilihan Umum (KPU) untuk menunda pelaksanaan Pemilu 2024 hingga tahun 2025. Putusan ini menambah deretan wacana penundaan pemilu yang sebelumnya sempat digaungkan sejumlah politisi.

**Isi:**
Dalam putusan yang dibacakan Kamis, 2 Maret 2023, PN Jakpus menghukum KPU untuk tidak melanjutkan sisa tahapan pemilu dan memulai kembali dari awal dalam waktu sekitar 2 tahun 4 bulan 7 hari. Putusan ini langsung menjadi sorotan publik.

Sebelumnya, wacana serupa pernah disuarakan oleh Pelaksana Tugas Ketua Umum PPP, Muhammad Mardiono, pada awal Februari. Ia beralasan masyarakat masih fokus pada pemulihan ekonomi pascapandemi dan antusiasme terhadap pemilu rendah. Mardiono yang juga menjabat Utusan Khusus Presiden itu mengaku telah berkeliling ke 30 provinsi dan melihat langsung kondisi masyarakat.

Keputusan PN Jakpus ini dinilai mengejutkan karena berpotensi mengubah peta politik nasional. Namun, langkah lanjutan masih menunggu sikap KPU dan pemerintah. Sejumlah pihak mengingatkan bahwa keputusan final harus tetap mengacu pada konstitusi dan undang-undang yang berlaku.",news_article,1,Big Pickle,accepted
news_120,"TEMPO.CO, Jakarta -Presiden Joko Widodo alias Jokowi mendukung Komisi Pemilihan Umum (KPU) untuk mengajukan banding atas putusan Pengadilan Negeri (PN) Jakarta Pusat soal penundaan Pemilu 2024. Jokowi menilai keputusan itu kontroversial.""Dan memang itu sebuah kontroversi yang menimbulkan pro dan kontra, tapi juga pemerintah mendukung KPU untuk naik banding,"" kata Jokowi saat usai melaksanakan kunjungan kerja di Kecamatan Rancabali, Kabupaten Bandung, Jawa Barat, Senin, 6 Maret 2023.Jokowi menegaskan pemerintah berkomitmen agar tahapan Pemilu 2024 terlaksana dengan baik. Sehingga ia pun berharap tahapan Pemilu 2024 tetap berjalan sesuai dengan rencana.""Penyiapan anggaran juga sudah disiapkan dengan baik, tahapan Pemilu kita harapkan tetap berjalan,"" kata presiden.Putusan PN Jakarta PusatPN Jakarta Pusat mengabulkan gugatan Partai Prima terhadap Komisi Pemilihan Umum pada Kamis pekan lalu, 2 Maret 2023. Partai Prima mengajukan gugatan setelah dinyatakan tak lolos dalam tahap verifikasi administrasi untuk menjadi peserta Pemilu 2024.Dalam putusannya, majelis hakim memerintahkan KPU untuk tidak melaksanakan sisa tahapan Pemilu 2024 dan melaksanakan tahapan pemilu dari awal selama lebih kurang 2 tahun 4 bulan 7 hari. Selain itu, KPU juga diminta membayar kerugian kepada Partai Prima senilai Rp 500 juta.Adapun pertimbangan majelis hakim dalam putusan-nya, yakni untuk memulihkan serta terciptanya keadaan yang adil, serta melindungi agar sedini mungkin tidak terjadi lagi kejadian-kejadian lain akibat kesalahan ketidakcermatan, ketidaktelitian, ketidakprofesionalan, dan ketidakadilan oleh tergugat, dalam hal ini KPU, majelis hakim memerintahkan kepada KPU untuk tidak melanjutkan sisa tahapan Pemilu 2024.Selain itu, majelis hakim juga menyatakan bahwa fakta-fakta hukum telah membuktikan terjadi kondisi error pada Sistem Informasi Partai Politik (Sipol) yang disebabkan faktor kualitas alat yang digunakan atau faktor di luar prasarana.Dengan demikian, secara otomatis, PN Jakarta Pusat pun memerintahkan untuk menunda pemilihan umum yang sebelumnya telah dijadwalkan berlangsung pada 14 Februari 2024.Putusan ini dianggap kontroversial karena melanggar Undang-Undang Dasar 1945 yang menyebutkan Pemilu dilaksanakan setiap lima tahun sekali. Selain itu, PN Jakarta Pusat juga dinilai tak memiliki kewenangan untuk mengadili sengketa pemilu.KPU menyatakan sedang menyiapkan berkas pengajuan banding usai menerima salinan putusan PN Jakarta Pusat. Mereka menegaskan tidak ada penundaan pemilu.",news_article,0,human,human
news_208,"TEMPO.CO, Batam - Kepala Badan Penanggulan Bencana Nasional (BNPB) RI Letjen TNI Suharyanto mendarat di Bandara Raden Sadjat, Ranai, Kabupaten Natuna, Selasa, 7 Maret 2023. Bersama Gubernur Kepulauan Riau Ansar Ahmad, Suharyanto langsung menggelar rapat gabungan.Suharyanto meminta kepada seluruh tim gabungan agar memaksimalkan pencarian korban longsor di Desa Pangkalan, Kecamatan Serasan Timur, yang dinyatakan hilang.""Sebanyak 47 orang yang dinyatakan hilang itu relatif banyak. Makanya kita harus cari dengan maksimal, sampai betul-betul tidak mungkin ditemukan lagi,"" kata Suharyanto.Untuk masyarakat yang saat ini berada di pengungsian, Suharyanto juga meminta agar kebutuhan sehari-harinya terjamin, baik berupa sandang, papan dan pangannya.""Jangan sampai masyarakat yang sudah kena musibah itu dibebani lagi dengan susah mendapat bantuan makanan, pakaian dan sebagainya. Kita harus perhatikan betul-betul sampai status darurat bencana selesai,"" ujarnya.Dia pun menegaskan agar standar perlakuan penanganan bencana diterapkan secara seksama meskipun lokasi bencana cenderung sulit diakses karena jauh dan harus berhadapan dengan cuaca yang tidak menentu di Laut Natuna.""Justru harus lebih maksimal lagi karena kondisi geografis dan cuaca mengharuskan kita demikian,"" tegasnya.Turut serta dalam rombongan dari Jakarta yaitu Deputi Bidang Penanganan Darurat BNPB Mayjen TNI Fajar Setyawan, Kapusdatin BNPB Dr. Abdul Muhari, personil Basarnas, dan sejumlah jurnalis media nasional.Selanjutnya, Kepala BNPB tunda ke SerasanRencananya Gubernur Riau Ansar Ahmad dan Suharyanto akan langsung menuju pulau Serasan menggunakan kapal laut. Namun hal itu ditunda mengingat kondisi cuaca buruk dan jarak tempuh yang jauh. Mereka rencanya baru akan berangkat ke Serasan pada Rabu subuh besok.Jarak pulau Serasan dari ibukota Kabupaten Natuna di Ranai berkisar 330 mil dengan waktu tempuh 12 jam.Sebelumnya Gubernur Ansar juga telah memerintahkan KMP Bahtera Nusantara 1 untuk membawa personel dan peralatan evakuasi ke pulau Serasan. KMP Bahtera Nusantara 1 dengan kapasitas 295 orang dan 36 unit kendaraan mengangkut beberapa personil Kemensos, TNI, Polri, KSOP, BPTD, dan Pemda.""Kita harus cepat untuk membawa personil dan peralatan ke pulau Serasan karena kondisinya darurat, semua armada yang memungkinkan untuk turun akan kita kirim kesana,"" kata Gubernur Ansar.Longsor di Serasan terjadi pada Senin kemarinSebelumnya, longsor terjadi di Desa Pangkalan, Kecamatan Serasan Timur,Senin kemarin, 6 Maret 2023 pada pukul 11.15 WIB. Longsor disebut menyapu 27 rumah warga di Desa Pangkalan.Data Tim Gabungan Tanggap BencanaSerasan & Serasan Timur pada hari ini mencatat korban meninggal teridentifikasi sebanyak 6 orang, sementara yang belum teridentifikasi sebanyak 4 orang.Selain itu, masih ada 47 orang yang dinyatakan hilang. Adapun korban luka berat sebanyak 4 orang, dan korban kritis sejumlah 4 orang. Dari jumlah itu, 3 orang dikirim ke Pontianak via Bukit Raya dan 1 orang dikirim ke Ranai via Indra Perkasa.Selain itu, terdapat 1.216 orang yang harus mengungsi. Mereka ditampung di empat lokasi berbeda.Gubernur Ansar Ahmad juga sudah mengirimkan bantuan logistik sebanyak 200 paket untuk para pengungsi longsor Natuna. Setiap paketnya berisikan mie instan 2 dus, sarden 5 kaleng, minyak goreng 5 kilogram, gula 2 kilogram, teh 2 kotak, Susu bubuk 2 kotak, peralatan mandi 1 paket, peralatan makan 1 paket, dan peralatan masak 1 paket.",news_article,0,human,human
news_380,"Jakarta, CNBC Indonesia - Australia diperkirakan akan membeli hingga lima kapal selam bertenaga nuklir kelas Virginia Amerika Serikat (AS) pada 2030. Pembelian akan dilakukan sebagai bagian perjanjian pertahanan AUKUS, aliansi antara AS, Inggris, dan Australia untuk melawan ancaman China. Melansir Reuters , pakta AUKUS akan memiliki beberapa tahap dengan setidaknya satu kapal selam AS mengunjungi pelabuhan Australia di tahun-tahun mendatang dan berakhir pada akhir 2030 dengan kapal selam kelas baru yang dibangun dengan desain Inggris dan teknologi Amerika. Dua pejabat, berbicara dengan syarat anonim pada Rabu (8/3/2023), mengatakan setelah kunjungan pelabuhan tahunan, AS akan mengerahkan beberapa kapal selam di Australia Barat sekitar tahun 2027. Pada awal 2030-an, Australia akan membeli tiga kapal selam kelas Virginia dan memiliki opsi untuk membeli dua lagi. AUKUS juga diharapkan menjadi proyek pertahanan terbesar Australia dan menawarkan prospek pekerjaan di ketiga negara tersebut. Australia memiliki armada yang terdiri dari enam kapal selam kelas Collins bertenaga konvensional, yang masa kerjanya akan diperpanjang hingga 2036. Kapal selam nuklir dapat bertahan di bawah air lebih lama daripada kapal selam konvensional dan lebih sulit dideteksi. Para pejabat tidak memerinci rencana kapal selam kelas baru, termasuk menawarkan secara spesifik tentang lokasi produksi. Di bawah kesepakatan AUKUS awal yang diumumkan pada 2021, AS dan Inggris setuju untuk memberi Australia teknologi dan kemampuan untuk mengerahkan kapal selam bertenaga nuklir sebagai bagian dari upaya bersama untuk melawan meningkatnya ancaman yang ditimbulkan oleh China di kawasan Indo-Pasifik. Selama lima tahun ke depan, pekerja Australia akan datang ke galangan kapal selam AS untuk mengamati dan berlatih. Pelatihan ini akan secara langsung menguntungkan produksi kapal selam AS karena saat ini ada kekurangan tenaga kerja untuk pekerja galangan kapal yang dibutuhkan AS untuk membangun kapal selamnya, kata sebuah sumber. Menurut Layanan Riset Kongres, rencana pembuatan kapal Angkatan Laut 30 tahun yang dirilis tahun lalu memperkirakan kapal selam diproduksi dengan laju 1,76 hingga 2,24 per tahun dan memperkirakan armada tumbuh antara 60 hingga 69 kapal selam serang nuklir pada tahun 2052,. General Dynamics Corp, yang membuat kapal selam kelas Virginia, memiliki 17 di antaranya dalam backlog pengiriman hingga tahun 2032.",news_article,0,human,human
news_25,"**KPU Siapkan Memori Banding Putusan Penundaan Pemilu 2024**

Jakarta - Komisi Pemilihan Umum (KPU) tengah menyusun memori banding terhadap putusan Pengadilan Negeri Jakarta Pusat yang mengabulkan gugatan Partai Prima soal penundaan Pemilu 2024.

Anggota KPU Mochammad Afifuddin mengonfirmasi persiapan itu berlangsung, Senin (6/3/2023). Ia enggan menjawab kapan banding akan diajukan. ""Setelah matang semuanya, nanti disampaikan,"" ujarnya.

Putusan dibacakan Kamis (2/3/2023) lalu. Majelis hakim mengabulkan gugatan Partai Prima dan menghukum KPU untuk tidak melaksanakan sisa tahapan Pemilu 2024. KPU diperintah mengulang tahapan pemilu dari awal selama kurang lebih dua tahun empat bulan tujuh hari.

Hakim ketua Oyong menilai KPU melakukan kesalahan, ketidakcermatan, hingga ketidakprofesionalan. Majelis juga membuktikan adanya error pada Sistem Informasi Partai Politik (Sipol) akibat faktor kualitas alat. Error itu menghalangi Partai Prima memperbaiki data peserta, namun KPU tetap menetapkan status partai tanpa toleransi.

KPU sebelumnya telah menyatakan keberatan atas putusan ini dan menilainya berpotensi menciptakan kekosongan hukum serta ketidakpastian politik di tengah persiapan pemilu.",news_article,1,Nemotron 3 Ultra Free,accepted
news_2,"**Judul: Prabowo dan Surya Paloh Sepakat Jaga Persaingan Sehat Jelang Pemilu 2024**

**Lead:** Ketua Umum Partai Gerindra, Prabowo Subianto, menerima kunjungan Ketua Umum Partai NasDem, Surya Paloh, di kediamannya di Hambalang, Bogor, pada Ahad, 5 Maret 2023. Dalam pertemuan dua tokoh politik tersebut, tercapai kesepakatan untuk saling menghormati keputusan politik masing-masing dan bersaing secara sehat dalam Pemilu 2024.

**Isi Berita:**
Prabowo mengakui bahwa pembicaraan dalam pertemuan itu mengalir dengan cair, dimulai seusai makan siang dan dilanjutkan dengan menyeruput kopi. Menteri Pertahanan ini menegaskan bahwa dirinya dan Surya Paloh sepakat untuk menempatkan perdamaian dan kerukunan bangsa di atas segalanya dalam pesta demokrasi mendatang.

""Kesimpulannya, kami sepakat untuk saling menghormati keputusan politik masing-masing. Kami ingin suasana bangsa selalu damai dan rukun, bersatu dalam bingkai NKRI, Pancasila, dan Bhineka Tunggal Ika,"" ujar Prabowo usai pertemuan. Ia menambahkan bahwa keduanya berkomitmen untuk menghasilkan pemilu yang kondusif, berkualitas, serta jujur dan adil.

Pertemuan ini merupakan kunjungan balasan dari Prabowo ke Kantor DPP NasDem pada Juni tahun lalu. Prabowo menekankan bahwa kedatangan Surya Paloh adalah pertemuan dua orang sahabat yang telah bersahabat jauh sebelum menjadi ketua partai, sejak mereka masih bernaung di Partai Golkar. ""Ini pertemuan dua sahabat yang kebetulan memimpin partai,"" tandasnya.",news_article,1,MiMo-V2.5 Free,accepted
news_266,"TEMPO.CO, Batam - Tiga korban longsor yang terjadi di Pulau Serasan, Kabupaten Natuna, Provinsi Kepulauan Riau kembali ditemukan pada hari ini, Rabu, 8 Maret 2023. Total korban longsor yang meninggal menjadi 15 orang.""Data hingga Rabu (8 Maret 2023) pukul 14.00 wib, jumlah korban longsor Desa Pangkalan, Serasan Natuna bertambah tiga orang lagi ditemukan,"" kata Bupati Natuna Wan Siswandi, Rabu (8/3/2023).14 korban meninggal ditemukan, satu korban meninggal saat akan dibawa ke rumah sakitSehingga total korban meninggal mencapai 15 orang. Sebelumnya enam orang korban yang meninggal ditemukan pada Senin, 6 Maret 2023, sementara Lima korban ditemukan, pada Selasa, 7 Maret 2023.""Sedangkan satu lagi meninggal di atas kapal menuju ke Rumah Sakit Pontianak,"" kata kata Patli Muhamad, Narahubung Tim Gabungan dari Dinas Komunikasi dan Informatika Kabupaten Natuna, Selasa malam kemarin.Dengan penemuan 14 korban meninggal itu, total orang yang dinyatakan hilang berkurang menjadi 43.Ribuan orang harus mengungsiLongsor di Pulau Serasan, Kabupaten Natuna terjadi pada Senin kemarin, 6 Maret 2023 pada pukul 11.15 WIB. Longsor disebut menyapu 27 rumah warga di Desa Pangkalan. Sebanyak 3 orang mengalami kritis akibat bencana tersebut, sedangkan total yang mengungsi 1.216 orang.Pada Selasa kemarin, proses pencarian korban sempat terhambat hujan yang terus mengguyur sepanjang hari. Pencarian korban pun dihentikan karena kondisi tanah yang masih labil sehingga dinilai membahayakan.Kepala Badan Nasional Penanggulangan Bencana Letjen Suharyanto telah berangkat ke Natuna sejak Selasa kemarin. Akan tetapi Suharyanto sempat tertahan di Ranai, ibu kota Kabupaten Natuna, karena kondisi tak memungkinkan dia dan rombongan menuju ke Pulau Serasan.Gubernur Kepulauan Riau, Ansar Ahmad, ikut dalam rombongan Suharyanto itu. Ansar sebelumnya telah mengirimkan 200 paket bantuan logistik untuk korban longsor Natuna yang mengungsi.",news_article,0,human,human
news_38,"**Judul:** Haris Azhar Bantah P21 Kasus Pencemaran Nama Baik Luhut Sudah Sejak Awal Februari

**Lead:** TEMPO.CO, Jakarta – Aktivis Haris Azhar membantah pemberitaan yang menyebut bahwa berkas perkaranya telah dinyatakan lengkap atau P21 pada 3 Februari 2023. Ia menegaskan bahwa pemberitahuan tersebut baru diterimanya pada Senin, 6 Maret 2023, atau bersamaan dengan dirinya menjalani pemeriksaan kesehatan di Polda Metro Jaya.

**Isi:** ""Ternyata P21-nya hari ini, jadi bukan dua minggu lalu seperti yang diberitakan,"" kata Haris di Gedung Bidang Kedokteran dan Kesehatan Polda Metro Jaya, Senin, 6 Maret 2023. Kasus ini bermula dari laporan Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan atas dugaan pencemaran nama baik. Haris dan Koordinator KontraS, Fatia Maulidiyanti, dianggap mencemarkan nama Luhut dalam video yang membahas hasil riset sejumlah organisasi.

Apa itu P21? Berdasarkan Keputusan Jaksa Agung, kode P-21 menandakan hasil penyidikan sudah lengkap secara formil dan materiel. Setelah dinyatakan lengkap, berkas dilimpahkan ke kejaksaan (tahap dua). Jaksa penuntut umum kemudian dapat menentukan apakah perkara dilimpahkan ke pengadilan. Jika ya, tersangka dan barang bukti akan diserahkan ke Pengadilan Negeri untuk disidangkan. Dengan adanya P21 ini, proses hukum terhadap Haris dan Fatia berlanjut ke tahap penuntutan.",news_article,1,DeepSeek V4 Flash Free,accepted
news_9,"**ESDM Ubah Formula Harga Batu Bara Acuan, Produsen Bernapas Lega**

Kementerian Energi dan Sumber Daya Mineral (ESDM) secara resmi merevisi pedoman penetapan Harga Batubara Acuan (HBA), sebuah keputusan yang disambut baik oleh para produsen batu bara di Indonesia. Perubahan yang tertuang dalam Keputusan Menteri ESDM Nomor 41.K/MB.01/MEM.B/2023 ini bertujuan menciptakan perhitungan harga yang lebih adil dan relevan dengan kondisi pasar.

Staf Khusus Menteri ESDM Bidang Percepatan Tata Kelola Mineral dan Batu Bara, Irwandy Arif, menjelaskan bahwa evaluasi formula HBA dilakukan atas permintaan pelaku usaha. Formula HBA sebelumnya, yang didapat dari empat indeks dengan bobot masing-masing 25%, dinilai memberatkan industri. Lonjakan HBA hingga di atas US$300 per ton pada Oktober 2022, sementara harga jual di pasar menurun menjadi sekitar US$200 per ton pada awal 2023, mengakibatkan beban royalti yang tinggi bagi perusahaan.

""Kondisi ini memberatkan industri karena royalti dibebankan dari HBA yang tinggi, sedangkan harga jual riil di pasar lebih rendah,"" kata Irwandy.

Dengan aturan baru, penetapan indeks HBA akan menggunakan rata-rata harga dua bulan sebelumnya dengan persentase yang bervariasi. Contohnya, 70% harga bulan ini dan 30% harga bulan sebelumnya, atau sebaliknya, disesuaikan berdasarkan kondisi pasar. Pendekatan ini diharapkan dapat mengurangi disparitas antara harga jual perusahaan dan HBA, sehingga tercipta keadilan bagi pemerintah maupun pelaku usaha. Salah satu formula yang disebutkan adalah HBA = (0,7 * Pm) + (0,3 * Pm-1), di mana Pm adalah rata-rata harga jual batu bara pada bulan sebelumnya.",news_article,1,Gemini Free,accepted
