object_id,text,text_type,label,ai_model
sosmed_83b446ba,"Hahaha emang bner orang desa ga main saham, udah pro rakyat aja lu kritik, itu udah lama pemutihan umkm, ambruknya barusan",social_media_comment,0,human
sosmed_83b446ba,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_83b446ba],social_media_comment,1,ChatGPT
sosmed_83b446ba,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_83b446ba],social_media_comment,1,Claude
sosmed_83b446ba,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_83b446ba],social_media_comment,1,Gemini
sosmed_a639e93f,"gak pernah terbayang di pikiran gua presiden indonesia dibecandain punya hubungan spesial sama ajudannya anying kocak beut ni indonesia, presiden ga ada bener2 nya diliat2",social_media_comment,0,human
sosmed_a639e93f,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_a639e93f],social_media_comment,1,ChatGPT
sosmed_a639e93f,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_a639e93f],social_media_comment,1,Claude
sosmed_a639e93f,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_a639e93f],social_media_comment,1,Gemini
sosmed_6c68c8db,"Aelah pantes komen2 si pro pada ""yaelah baru 100 hari, sabar"" ""dipikir presiden kayak ketua kelas"" ""mahasew4"" 🙂",social_media_comment,0,human
sosmed_6c68c8db,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_6c68c8db],social_media_comment,1,ChatGPT
sosmed_6c68c8db,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_6c68c8db],social_media_comment,1,Claude
sosmed_6c68c8db,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_6c68c8db],social_media_comment,1,Gemini
sosmed_d61eb901,MOT sama JOT gaada bedanya ini 48g kebanyakan janji manis anjr kek kampanye presiden,social_media_comment,0,human
sosmed_d61eb901,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_d61eb901],social_media_comment,1,ChatGPT
sosmed_d61eb901,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_d61eb901],social_media_comment,1,Claude
sosmed_d61eb901,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_d61eb901],social_media_comment,1,Gemini
sosmed_eae63a5f,Layak masuk dalam daftar reshuflle 100 Hari kinerja Kabinet Presiden,social_media_comment,0,human
sosmed_eae63a5f,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_eae63a5f],social_media_comment,1,ChatGPT
sosmed_eae63a5f,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_eae63a5f],social_media_comment,1,Claude
sosmed_eae63a5f,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_eae63a5f],social_media_comment,1,Gemini
sosmed_766efc05,pak .... ini contoh rakyat Indonesia yang sangat mencintai negaranya ‼️ 👍,social_media_comment,0,human
sosmed_766efc05,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_766efc05],social_media_comment,1,ChatGPT
sosmed_766efc05,[Hasil Tweet REWRITE oleh Claude dari teks asli sosmed_766efc05],social_media_comment,1,Claude
sosmed_766efc05,[Hasil Tweet REWRITE oleh Gemini dari teks asli sosmed_766efc05],social_media_comment,1,Gemini
sosmed_f769f497,"Perang tarif dagang itu hanya akal akalan untuk pencitraan Prabowo seolah ada kinerjanya, padahal tarif dagang akal akalan. Hingga hari ini belum terlihat kinerjanya baik para Mentri pembantunya juga. Semua untuk menutupi kegagalan kinerjanya yg tak pernah dituntaskan, hukum dll.",social_media_comment,0,human
sosmed_f769f497,[Hasil Tweet REWRITE oleh ChatGPT dari teks asli sosmed_f769f497],social_media_comment,1,ChatGPT
